EVENTO,VALOR,EMAIL,FECHA,HORA 
CONTADOR,27,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:34
CONTADOR,28,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:34
CONTADOR,29,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:34
CONTADOR,0,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:34
CONTADOR,1,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:35
CONTADOR,2,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:35
CONTADOR,3,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:35
CONTADOR,4,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:35
CONTADOR,5,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:35
CONTADOR,6,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:36
CONTADOR,7,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:36
CONTADOR,8,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:36
CONTADOR,9,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:36
CONTADOR,10,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:36
CONTADOR,11,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:37
CONTADOR,12,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:37
CONTADOR,13,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:37
CONTADOR,14,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:37
CONTADOR,15,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:37
CONTADOR,16,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:38
CONTADOR,17,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:38
CONTADOR,18,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:38
CONTADOR,19,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:38
CONTADOR,20,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:38
CONTADOR,21,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:39
CONTADOR,22,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:39
CONTADOR,23,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:39
CONTADOR,24,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:39
CONTADOR,25,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:39
CONTADOR,26,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:40
CONTADOR,27,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:40
CONTADOR,28,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:40
CONTADOR,29,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:40
CONTADOR,0,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:40
CONTADOR,1,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:41
CONTADOR,2,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:41
CONTADOR,3,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:41
CONTADOR,4,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:41
CONTADOR,5,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:41
CONTADOR,6,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:42
CONTADOR,7,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:42
CONTADOR,8,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:42
CONTADOR,9,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:42
CONTADOR,10,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:42
CONTADOR,11,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:43
CONTADOR,12,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:43
CONTADOR,13,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:43
CONTADOR,14,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:43
CONTADOR,15,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:43
CONTADOR,16,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:44
CONTADOR,17,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:44
CONTADOR,18,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:44
CONTADOR,19,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:44
CONTADOR,20,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:44
CONTADOR,21,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:45
CONTADOR,22,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:45
